,Power (kW),Power-1 (kW),Temperature (°C),Humidity (%),Solar Radiation (W/m²),Hour of Day,Day of Week
2017-01-01 02:00:00,42.861834,42.7519285,7.263416666666667,80.27499999999999,1.4150833333333337,2,6
2017-01-01 03:00:00,42.317769,42.861834,6.831333333333333,81.33333333333333,1.5419999999999998,3,6
2017-01-01 04:00:00,42.653385,42.317769,6.50025,81.24166666666666,0.891,4,6
2017-01-01 05:00:00,42.4377255,42.653385,6.0064166666666665,81.00833333333334,1.3758333333333332,5,6
2017-01-01 06:00:00,42.307281,42.4377255,5.645833333333333,80.44166666666666,0.988,6,6
2017-01-01 07:00:00,46.7447975,42.307281,5.47775,80.19166666666666,1.4661666666666668,7,6
2017-01-01 08:00:00,46.521709,46.7447975,5.41025,80.35833333333333,29.54975,8,6
2017-01-01 09:00:00,46.554047,46.521709,5.480583333333333,80.09166666666667,76.49416666666667,9,6
2017-01-01 10:00:00,46.689517,46.554047,6.0168333333333335,78.79166666666667,192.8083333333333,10,6
2017-01-01 11:00:00,46.7360575,46.689517,6.882416666666667,76.29166666666667,237.49166666666667,11,6
2017-01-01 12:00:00,46.97313,46.7360575,7.56,75.31666666666666,267.5,12,6
2017-01-01 13:00:00,47.654413,46.97313,8.73,72.74916666666667,203.55,13,6
2017-01-01 14:00:00,47.892578,47.654413,9.809166666666666,70.03083333333333,146.23333333333332,14,6
2017-01-01 15:00:00,47.786387,47.892578,9.735833333333334,71.41083333333333,124.28333333333336,15,6
2017-01-01 16:00:00,48.0199635,47.786387,9.525833333333331,73.75833333333334,56.92416666666667,16,6
2017-01-01 17:00:00,48.2716755,48.0199635,8.9725,76.35833333333333,5.232166666666667,17,6
2017-01-01 18:00:00,48.695784,48.2716755,8.865,76.30833333333334,1.5073333333333334,18,6
2017-01-01 19:00:00,49.652377,48.695784,8.984166666666667,75.88333333333334,1.4498333333333333,19,6
2017-01-01 20:00:00,48.608821,49.652377,9.186666666666667,76.85833333333333,1.3549999999999998,20,6
2017-01-01 21:00:00,44.7079405,48.608821,9.174166666666666,78.60000000000001,1.3435833333333334,21,6
2017-01-01 22:00:00,44.293446,44.7079405,10.0075,77.71666666666667,1.2211666666666667,22,6
2017-01-01 23:00:00,43.37662,44.293446,9.882307692307691,80.23846153846154,1.5002307692307693,23,6
2017-01-02 00:00:00,43.8776405,43.37662,9.471666666666666,83.45833333333333,1.1796666666666666,0,0
2017-01-02 01:00:00,42.577347,43.8776405,10.209166666666668,84.08333333333333,1.8166666666666669,1,0
2017-01-02 02:00:00,42.395555,42.577347,9.975833333333332,85.5,1.1193333333333333,2,0
2017-01-02 03:00:00,42.2406385,42.395555,9.791666666666666,87.19166666666666,1.5486666666666666,3,0
